,,
Distribution of Population by Land Area ,,
Source: 2019 Kenya Population and Housing Census Volume I: Population by County and Sub-County,,
https://wwwknbsorke/?wpdmpro=2019-kenya-population-and-housing-census-volume-i-population-by-county-and-sub-county,,
"Population, Land area, Sub-county, County, Kenya",,
,,
name,Year,total
Aberdare Fores t*,Land Area (Sq. Km),722
Aberdare Fores t*,Population,106
Aberdare Forest,Land Area (Sq. Km),294.7
Aberdare Forest,Population,43
Aberdare National Park*,Land Area (Sq. Km),716.7
Aberdare National Park*,Population,15
Ainabkoi,Land Area (Sq. Km),492.9
Ainabkoi,Population,138184
Athi River,Land Area (Sq. Km),827.2
Athi River,Population,322499
Awendo,Land Area (Sq. Km),255.3
Awendo,Population,117290
Balambala,Land Area (Sq. Km),3684.1
Balambala,Population,32257
Banisa,Land Area (Sq. Km),3942.7
Banisa,Population,152598
Baringo ,Land Area (Sq. Km),10976.4
Baringo ,Population,666763
Baringo Central,Land Area (Sq. Km),786.5
Baringo Central,Population,96951
Baringo North,Land Area (Sq. Km),1629.3
Baringo North,Population,104871
Belgut ,Land Area (Sq. Km),264.3
Belgut ,Population,145072
Bomet ,Land Area (Sq. Km),2530.9
Bomet ,Population,875689
Bomet Central,Land Area (Sq. Km),286.1
Bomet Central,Population,175215
Bomet East,Land Area (Sq. Km),305
Bomet East,Population,144275
Bondo ,Land Area (Sq. Km),598.8
Bondo ,Population,197883
Borabu,Land Area (Sq. Km),246.9
Borabu,Population,73167
Bumula,Land Area (Sq. Km),345.2
Bumula,Population,215892
Buna ,Land Area (Sq. Km),3892.8
Buna ,Population,49886
Bungoma,Land Area (Sq. Km),3023.9
Bungoma,Population,1670570
Bungoma Central,Land Area (Sq. Km),232.7
Bungoma Central,Population,177748
Bungoma East,Land Area (Sq. Km),163.3
Bungoma East,Population,114548
Bungoma North,Land Area (Sq. Km),191.5
Bungoma North,Population,121317
Bungoma South ,Land Area (Sq. Km),321.2
Bungoma South ,Population,287765
Bungoma West,Land Area (Sq. Km),211
Bungoma West,Population,119875
Bunyala,Land Area (Sq. Km),192.2
Bunyala,Population,85977
Bureti ,Land Area (Sq. Km),320.6
Bureti ,Population,199470
Busia ,Land Area (Sq. Km),196
Busia ,Land Area (Sq. Km),1696.3
Busia ,Population,142408
Busia ,Population,893681
Butere ,Land Area (Sq. Km),210.1
Butere ,Population,154100
Butula ,Land Area (Sq. Km),243.6
Butula ,Population,140334
Buuri East,Land Area (Sq. Km),332.9
Buuri East,Population,76598
Buuri West,Land Area (Sq. Km),638.7
Buuri West,Population,80762
Changamwe,Land Area (Sq. Km),17.7
Changamwe,Population,131882
Chepalungu,Land Area (Sq. Km),460.5
Chepalungu,Population,164837
Cheptais,Land Area (Sq. Km),222.9
Cheptais,Population,136035
Chesumei,Land Area (Sq. Km),474.6
Chesumei,Population,164133
Chonyi,Land Area (Sq. Km),192.6
Chonyi,Population,62335
Dadaab,Land Area (Sq. Km),6479.8
Dadaab,Population,185252
Dagoretti,Land Area (Sq. Km),29.1
Dagoretti,Population,434208
East Pokot,Land Area (Sq. Km),2500.5
East Pokot,Population,79923
Eldas ,Land Area (Sq. Km),4444
Eldas ,Population,88509
Elgeyo-Marakwet,Land Area (Sq. Km),3032
Elgeyo-Marakwet,Population,454480
Embakasi,Land Area (Sq. Km),86.3
Embakasi,Population,988808
Embu ,Land Area (Sq. Km),2820.7
Embu ,Population,608599
Embu East,Land Area (Sq. Km),253.3
Embu East,Population,129564
Embu North,Land Area (Sq. Km),110.6
Embu North,Population,79556
Embu West,Land Area (Sq. Km),158.1
Embu West,Population,127100
Emuhaya,Land Area (Sq. Km),89
Emuhaya,Population,97141
Endebess,Land Area (Sq. Km),678.4
Endebess,Population,111782
Etago,Land Area (Sq. Km),108.4
Etago,Population,83787
Fafi,Land Area (Sq. Km),15072.9
Fafi,Population,134040
Ganze,Land Area (Sq. Km),3204.4
Ganze,Population,143906
Garbatulla,Land Area (Sq. Km),9902
Garbatulla,Population,99730
Garissa,Land Area (Sq. Km),44736
Garissa,Land Area (Sq. Km),3230.7
Garissa,Population,841353
Garissa,Population,163914
Gatanga,Land Area (Sq. Km),532.3
Gatanga,Population,187989
Gatundu North,Land Area (Sq. Km),285.9
Gatundu North,Population,109870
Gatundu South,Land Area (Sq. Km),193.6
Gatundu South,Population,122103
Gem ,Land Area (Sq. Km),405.3
Gem ,Population,179792
Gilgil ,Land Area (Sq. Km),1075.4
Gilgil ,Population,185209
Githunguri,Land Area (Sq. Km),174.4
Githunguri,Population,165232
Gucha,Land Area (Sq. Km),82.1
Gucha,Population,83740
Gucha South,Land Area (Sq. Km),94.9
Gucha South,Population,83623
Habaswein,Land Area (Sq. Km),1912.5
Habaswein,Population,174134
Hamisi,Land Area (Sq. Km),157.2
Hamisi,Population,159241
Homa Bay,Land Area (Sq. Km),182
Homa Bay,Land Area (Sq. Km),3152.5
Homa Bay,Population,117439
Homa Bay,Population,1131950
Hulugho,Land Area (Sq. Km),7733.2
Hulugho,Population,133984
Igam bang'om be,Land Area (Sq. Km),324.6
Igam bang'om be,Population,53210
Igem be Central ,Land Area (Sq. Km),604.1
Igem be Central ,Population,221412
Igem be North,Land Area (Sq. Km),1076.9
Igem be North,Population,169317
Igem be South,Land Area (Sq. Km),255.2
Igem be South,Population,161646
Ijara,Land Area (Sq. Km),2438.9
Ijara,Population,141591
Ikutha,Land Area (Sq. Km),9033.1
Ikutha,Population,82964
Im enti North,Land Area (Sq. Km),230.8
Im enti North,Population,177567
Im enti South,Land Area (Sq. Km),413.9
Im enti South,Population,206506
Is inya ,Land Area (Sq. Km),1071.6
Is inya ,Population,210473
Is iolo ,Land Area (Sq. Km),2691.3
Is iolo ,Population,121066
Isiolo ,Land Area (Sq. Km),25350.6
Isiolo ,Population,268002
Jomvu,Land Area (Sq. Km),36.9
Jomvu,Population,163415
Juja ,Land Area (Sq. Km),342
Juja ,Population,300948
Kabete,Land Area (Sq. Km),60.7
Kabete,Population,199653
Kahuro,Land Area (Sq. Km),169.4
Kahuro,Population,88193
Kajiado ,Land Area (Sq. Km),21871.1
Kajiado ,Population,1117840
Kajiado Central,Land Area (Sq. Km),4239.5
Kajiado Central,Population,161862
Kajiado North,Land Area (Sq. Km),110.6
Kajiado North,Population,306596
Kajiado West,Land Area (Sq. Km),7862.1
Kajiado West,Population,182849
Kakamega,Land Area (Sq. Km),3020
Kakamega,Population,1867579
Kakamega Central,Land Area (Sq. Km),155.2
Kakamega Central,Population,188212
Kakamega East,Land Area (Sq. Km),417.2
Kakamega East,Population,167641
Kakamega Forest*,Land Area (Sq. Km),31.7
Kakamega Forest*,Population,17
Kakamega North,Land Area (Sq. Km),420.8
Kakamega North,Population,238330
Kakamega South,Land Area (Sq. Km),146.2
Kakamega South,Population,111743
Kalama,Land Area (Sq. Km),487.2
Kalama,Population,54462
Kaloleni,Land Area (Sq. Km),706.1
Kaloleni,Population,193682
Kamukunji,Land Area (Sq. Km),10.5
Kamukunji,Population,268276
Kandara,Land Area (Sq. Km),234.6
Kandara,Population,175098
Kangema,Land Area (Sq. Km),173.7
Kangema,Population,80447
Kangundo,Land Area (Sq. Km),172.7
Kangundo,Population,97917
Kapseret,Land Area (Sq. Km),299.3
Kapseret,Population,198499
Kasarani,Land Area (Sq. Km),86.2
Kasarani,Population,780656
Kathiani,Land Area (Sq. Km),205.6
Kathiani,Population,111890
Kathonzweni,Land Area (Sq. Km),880.7
Kathonzweni,Population,79780
Katulani,Land Area (Sq. Km),323.7
Katulani,Population,47108
Kauma,Land Area (Sq. Km),181.4
Kauma,Population,22638
Keiyo North,Land Area (Sq. Km),543.2
Keiyo North,Population,99176
Keiyo South,Land Area (Sq. Km),897.8
